Date,Open,High,Low,Close,Adj Close,Volume
2012-07-30,16.100000,16.549999,15.320000,16.000000,16.000000,178500
2012-08-06,16.110001,18.500000,16.010000,17.590000,17.590000,381800
2012-08-13,17.540001,17.930000,17.049999,17.500000,17.500000,846600
2012-08-20,17.400000,18.790001,16.040001,18.010000,18.010000,1544200
2012-08-27,18.100000,18.459999,17.440001,17.500000,17.500000,3408300
2012-09-03,17.620001,17.830000,17.330000,17.570000,17.570000,287100
2012-09-10,17.500000,19.030001,17.270000,18.950001,18.950001,1146100
2012-09-17,18.969999,19.240000,17.950001,18.920000,18.920000,783900
2012-09-24,18.670000,19.639999,18.290001,18.940001,18.940001,1255600
2012-10-01,18.950001,19.580000,18.200001,19.309999,19.309999,597200
2012-10-08,19.309999,19.629999,18.910000,19.309999,19.309999,411100
2012-10-15,19.309999,19.500000,17.320000,17.610001,17.610001,370700
2012-10-22,17.510000,18.070000,17.389999,17.959999,17.959999,221100
2012-10-29,17.990000,18.200001,17.709999,17.799999,17.799999,244700
2012-11-05,17.850000,19.480000,17.700001,19.450001,19.450001,1046200
2012-11-12,19.400000,19.969999,18.299999,19.459999,19.459999,1093900
2012-11-19,19.500000,20.299999,19.230000,20.000000,20.000000,888900
2012-11-26,19.980000,20.950001,19.620001,20.570000,20.570000,1546500
2012-12-03,20.570000,20.870001,20.059999,20.700001,20.700001,627400
2012-12-10,20.620001,20.799999,20.000000,20.700001,20.700001,1086500
2012-12-17,20.719999,20.990000,19.280001,19.820000,19.820000,1139400
2012-12-24,19.770000,19.930000,18.510000,18.940001,18.940001,376700
2012-12-31,19.000000,19.590000,18.100000,19.190001,19.190001,641500
2013-01-07,19.090000,20.299999,18.650000,20.190001,20.190001,615600
2013-01-14,20.070000,20.379999,19.770000,20.260000,20.260000,365500
2013-01-21,20.270000,21.059999,19.980000,20.920000,20.920000,636400
2013-01-28,20.969999,21.900000,20.610001,21.830000,21.830000,776300
2013-02-04,21.820000,22.200001,21.110001,21.490000,21.490000,719100
2013-02-11,21.500000,21.500000,19.620001,21.049999,21.049999,570800
2013-02-18,21.129999,21.180000,20.650000,21.059999,21.059999,333800
2013-02-25,21.059999,22.490000,20.330000,22.450001,22.450001,1036300
2013-03-04,22.450001,23.750000,20.940001,23.680000,23.680000,1282300
2013-03-11,23.799999,23.799999,22.770000,22.889999,22.889999,859500
2013-03-18,22.650000,22.990000,22.389999,22.719999,22.719999,413700
2013-03-25,22.879999,23.500000,22.350000,23.230000,23.230000,1678600
2013-04-01,23.170000,23.730000,22.860001,23.400000,23.400000,1548500
2013-04-08,23.320000,23.559999,22.549999,23.000000,23.000000,788300
2013-04-15,23.000000,23.000000,20.780001,20.969999,20.969999,634600
2013-04-22,20.940001,22.270000,20.500000,21.340000,21.340000,812100
2013-04-29,21.340000,22.660000,21.160000,22.389999,22.389999,407900
2013-05-06,22.219999,23.250000,22.219999,23.100000,23.100000,813900
2013-05-13,22.830000,23.000000,22.500000,23.000000,23.000000,612800
2013-05-20,22.940001,24.080000,22.760000,23.290001,23.290001,1091700
2013-05-27,23.480000,23.480000,22.860001,23.160000,23.160000,532200
2013-06-03,23.160000,25.740000,22.860001,25.549999,25.549999,1846000
2013-06-10,25.400000,25.889999,24.790001,24.969999,24.969999,1034000
2013-06-17,25.010000,27.000000,24.320000,26.940001,26.940001,2291700
2013-06-24,26.870001,27.700001,25.760000,27.180000,27.180000,3178400
2013-07-01,27.260000,27.260000,25.100000,26.129999,26.129999,778900
2013-07-08,26.240000,29.000000,26.150000,28.719999,28.719999,1583700
2013-07-15,28.809999,29.420000,28.430000,29.040001,29.040001,1552200
2013-07-22,29.020000,29.299999,28.559999,29.209999,29.209999,1139300
2013-07-29,29.200001,29.320000,28.450001,28.650000,28.650000,1074700
2013-08-05,28.650000,32.240002,28.500000,31.520000,31.520000,2311100
2013-08-12,31.840000,32.040001,30.230000,30.670000,30.670000,1461800
2013-08-19,30.680000,31.600000,29.910000,31.139999,31.139999,1096700
2013-08-26,31.139999,32.500000,30.000000,31.980000,31.980000,5995800
2013-09-02,32.290001,32.779999,31.500000,32.169998,32.169998,1634300
2013-09-09,32.340000,34.740002,32.340000,33.240002,33.240002,2822400
2013-09-16,33.529999,35.150002,32.779999,33.990002,33.990002,2458400
2013-09-23,33.779999,35.340000,33.630001,34.810001,34.810001,1210400
2013-09-30,34.660000,35.290001,34.080002,34.950001,34.950001,988600
2013-10-07,34.750000,38.220001,33.020000,38.150002,38.150002,2090300
2013-10-14,38.099998,39.419998,37.290001,38.700001,38.700001,1968700
2013-10-21,38.869999,39.759998,37.779999,38.380001,38.380001,1005200
2013-10-28,38.529999,38.990002,35.980000,36.590000,36.590000,1591700
2013-11-04,36.599998,36.889999,33.000000,35.720001,35.720001,1420600
2013-11-11,35.830002,36.180000,34.549999,35.779999,35.779999,1422400
2013-11-18,35.980000,36.480000,34.849998,35.099998,35.099998,5859900
2013-11-25,35.130001,35.709999,34.500000,35.470001,35.470001,1196700
2013-12-02,35.459999,36.169998,33.970001,35.770000,35.770000,1269200
2013-12-09,35.919998,36.230000,32.360001,32.549999,32.549999,1771500
2013-12-16,32.639999,35.369999,32.639999,35.020000,35.020000,2042400
